""	"feature"	"metadata"	"value"	"coef"	"stderr"	"pval"	"qval"	"base.model"	"tweedie.index"	"N"	"N.not.zero"	"percent.zero"
"cholate"	"cholate"	"Group"	"RYGB"	1.86948848963092	0.914766218437566	0.0635769611387166	0.2674773579336	"CPLM"	1.976	15	15	0
"cysteine"	"cysteine"	"Group"	"RYGB"	-0.463493802766788	0.229476065917536	0.0663091503748293	0.276051666436587	"CPLM"	1.99	15	15	0
"sphingomyelin (d18:1/19:0, d19:1/18:0)*"	"sphingomyelin (d18:1/19:0, d19:1/18:0)*"	"Group"	"RYGB"	-0.426745232634573	0.21235340456286	0.067507783909065	0.279032173490802	"CPLM"	1.291	15	15	0
"lignoceroylcarnitine (C24)*"	"lignoceroylcarnitine (C24)*"	"Group"	"RYGB"	-0.400964036140527	0.199990436124634	0.0680652431965027	0.279693845729331	"CPLM"	1.99	15	15	0
"2'-deoxyuridine"	"2'-deoxyuridine"	"Group"	"RYGB"	0.768495795297681	0.383429672268572	0.0681427281191154	0.279693845729331	"CPLM"	1.99	15	15	0
"docosadienoate (22:2n6)"	"docosadienoate (22:2n6)"	"Group"	"RYGB"	0.46988425618228	0.235313102326027	0.0690357652240637	0.280115343813413	"CPLM"	1.99	15	15	0
"3-hydroxyhexanoate"	"3-hydroxyhexanoate"	"Group"	"RYGB"	-0.297706532637498	0.148917405665055	0.0687588418963462	0.280115343813413	"CPLM"	1.99	15	15	0
"lactate"	"lactate"	"Group"	"RYGB"	-0.354833288692068	0.178023321357368	0.0694805145726166	0.280301527967611	"CPLM"	1.99	15	15	0
"N1-Methyl-2-pyridone-5-carboxamide"	"N1-Methyl-2-pyridone-5-carboxamide"	"Group"	"RYGB"	-0.55191325839995	0.277737304143984	0.0702156763740459	0.282300569176198	"CPLM"	1.99	15	15	0
"3-hydroxypalmitoylcarnitine"	"3-hydroxypalmitoylcarnitine"	"Group"	"RYGB"	0.329225333944558	0.167636867972394	0.0731303583706895	0.289508573506246	"CPLM"	1.99	15	15	0
"3-methylcrotonylglycine"	"3-methylcrotonylglycine"	"Group"	"RYGB"	-0.394104722323482	0.20105422832915	0.0736078657100184	0.2900002200883	"CPLM"	1.99	15	15	0
"3-hydroxyoleoylcarnitine"	"3-hydroxyoleoylcarnitine"	"Group"	"RYGB"	0.389893875411471	0.199830123948356	0.0747807809744826	0.290108177082501	"CPLM"	1.99	15	15	0
"citrulline"	"citrulline"	"Group"	"RYGB"	-0.29078703498528	0.149505284002862	0.0755839155906752	0.291128925673064	"CPLM"	1.99	15	15	0
"glyco-beta-muricholate"	"glyco-beta-muricholate"	"Group"	"RYGB"	-1.50530147072413	0.774058031894122	0.0756243219490303	0.291128925673064	"CPLM"	1.99	15	15	0
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)"	"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)"	"Group"	"RYGB"	-0.321222053863795	0.165542102563998	0.0761876500565006	0.292342188164683	"CPLM"	1.99	15	15	0
"asparagine"	"asparagine"	"Group"	"RYGB"	-0.244876671929002	0.126464857846072	0.076733505052833	0.292571322050973	"CPLM"	1.01	15	15	0
"1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*"	"1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*"	"Group"	"RYGB"	0.468357595787852	0.243318498430579	0.0782753922806858	0.296490071082469	"CPLM"	1.99	15	15	0
"palmitoyl sphingomyelin (d18:1/16:0)"	"palmitoyl sphingomyelin (d18:1/16:0)"	"Group"	"RYGB"	-0.286385863066617	0.149717753954726	0.0799272230414182	0.298902440453304	"CPLM"	1.99	15	15	0
"histidine"	"histidine"	"Group"	"RYGB"	-0.189616786976624	0.0998282514112003	0.081804902869468	0.303994244732597	"CPLM"	1.01	15	15	0
"biliverdin"	"biliverdin"	"Group"	"RYGB"	0.827341286067311	0.442887772059338	0.0863563253914577	0.314946598486493	"CPLM"	1.99	15	15	0
"glutamate"	"glutamate"	"Group"	"RYGB"	-0.240608727530927	0.129291863995567	0.0874160836079709	0.316619457421994	"CPLM"	1.99	15	15	0
"1-oleoylglycerol (18:1)"	"1-oleoylglycerol (18:1)"	"Group"	"RYGB"	-0.587408478554517	0.315877278768683	0.0876213439045587	0.316619457421994	"CPLM"	1.221	15	15	0
"ursodeoxycholate"	"ursodeoxycholate"	"Group"	"RYGB"	0.717264046715806	0.389923569239591	0.0906996945757878	0.32377042487963	"CPLM"	1.857	15	15	0
"palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*"	"palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*"	"Group"	"RYGB"	0.423973264788494	0.232983445416098	0.0938166783235353	0.326006038540191	"CPLM"	1.99	15	15	0
"bilirubin"	"bilirubin"	"Group"	"RYGB"	-1.04802230208184	0.57541521406242	0.0935644579000465	0.326006038540191	"CPLM"	1.838	15	15	0
"sphingomyelin (d18:1/14:0, d16:1/16:0)*"	"sphingomyelin (d18:1/14:0, d16:1/16:0)*"	"Group"	"RYGB"	-0.483732738777291	0.26661656153641	0.0946889442460952	0.327107261941056	"CPLM"	1.621	15	15	0
"kynurenate"	"kynurenate"	"Group"	"RYGB"	-0.385180928437253	0.215495155439528	0.0991314298430376	0.335565587227294	"CPLM"	1.01	15	15	0
"oleoylcarnitine (C18)"	"oleoylcarnitine (C18)"	"Group"	"RYGB"	0.310073426764439	0.17449123599832	0.100899043648778	0.33762968200813	"CPLM"	1.99	15	15	0
"1-linoleoyl-GPA (18:2)*"	"1-linoleoyl-GPA (18:2)*"	"Group"	"RYGB"	-0.574932708097509	0.323831219694231	0.101174259549126	0.33762968200813	"CPLM"	1.99	15	15	0
"tetradecanedioate (C14)"	"tetradecanedioate (C14)"	"Group"	"RYGB"	-0.277953039088575	0.157411984323823	0.102840752748546	0.341257483768413	"CPLM"	1.99	15	15	0
"behenoylcarnitine (C22)*"	"behenoylcarnitine (C22)*"	"Group"	"RYGB"	-0.362096648520984	0.205743246784659	0.103859339870251	0.341918264064802	"CPLM"	1.99	15	15	0
"N6-methyllysine"	"N6-methyllysine"	"Group"	"RYGB"	0.243432407616741	0.138867012495826	0.10508760164632	0.342282806030194	"CPLM"	1.01	15	15	0
"2-hydroxy-3-methylvalerate"	"2-hydroxy-3-methylvalerate"	"Group"	"RYGB"	0.863423390408338	0.491858233220105	0.104654864086624	0.342282806030194	"CPLM"	1.99	15	15	0
"behenoyl sphingomyelin (d18:1/22:0)*"	"behenoyl sphingomyelin (d18:1/22:0)*"	"Group"	"RYGB"	-0.288249976076035	0.166434579987606	0.108889814215468	0.349515534457278	"CPLM"	1.99	15	15	0
"1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*"	"1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*"	"Group"	"RYGB"	0.393876337863561	0.228236392013812	0.110026366703449	0.352203967327889	"CPLM"	1.99	15	15	0
"N-acetylneuraminate"	"N-acetylneuraminate"	"Group"	"RYGB"	1.19551984907716	0.694293083201029	0.110733975428127	0.353410928359691	"CPLM"	1.99	15	15	0
